cross_mean_joint_callable	cross_mean_low_quartile_overlap	cross_mean_spearman	cross_mean_upper_quartile_overlap	cross_rep1_joint_callable	cross_rep1_low_quartile_overlap	cross_rep1_spearman	cross_rep1_upper_quartile_overlap	cross_rep2_joint_callable	cross_rep2_low_quartile_overlap	cross_rep2_spearman	cross_rep2_upper_quartile_overlap	five_prime_100_eligible	five_prime_100_rep1_joint_callable	five_prime_100_rep1_low_quartile_overlap	five_prime_100_rep1_spearman	five_prime_100_rep1_upper_quartile_overlap	five_prime_100_rep2_joint_callable	five_prime_100_rep2_low_quartile_overlap	five_prime_100_rep2_spearman	five_prime_100_rep2_upper_quartile_overlap	gene_id	gse132099_callable	gse132099_id	gse149767_profile	gse149767_rep1_callable	gse149767_rep2_callable	length	three_prime_100_eligible	three_prime_100_rep1_joint_callable	three_prime_100_rep1_low_quartile_overlap	three_prime_100_rep1_spearman	three_prime_100_rep1_upper_quartile_overlap	three_prime_100_rep2_joint_callable	three_prime_100_rep2_low_quartile_overlap	three_prime_100_rep2_spearman	three_prime_100_rep2_upper_quartile_overlap	within_gse149767_joint_callable	within_gse149767_low_quartile_overlap	within_gse149767_spearman	within_gse149767_upper_quartile_overlap
81	0.18518518518518517	0.4985407915135577	0.14814814814814814	81	0.1728395061728395	0.5183490037264895	0.13580246913580246	81	0.16049382716049382	0.4668917559036993	0.14814814814814814		81	0.1728395061728395	0.5183490037264895	0.13580246913580246	81	0.16049382716049382	0.4668917559036993	0.14814814814814814	ENSG00000278274	94	ENST00000384581	chr1-.NR_002987	85	85	130		70	0.17142857142857143	0.5117701141522418	0.11428571428571428	70	0.14285714285714285	0.4652593600918879	0.14285714285714285	85	0.17647058823529413	0.8859371666509827	0.2235294117647059
2096	0.10448473282442748	0.3202738819124775	0.125	2100	0.11523809523809524	0.36328878181524255	0.12904761904761905	2096	0.09208015267175572	0.2234181153177972	0.11068702290076336	False									ENSG00000129691	2728	ENST00000545394	chr8+.NM_001282272	2100	2096	2808	False									2096	0.14646946564885496	0.6412871209643487	0.16364503816793893
403	0.09925558312655088	0.29470766554226563	0.12655086848635236	597	0.11557788944723618	0.3076076671289946	0.10887772194304858	406	0.0812807881773399	0.17605817215571856	0.10591133004926108	False									ENSG00000162385	720	ENST00000371470	chr1-.NM_002370	597	406	756	False									403	0.14392059553349876	0.5810146908663721	0.1662531017369727
1728	0.13310185185185186	0.24030082313247675	0.10185185185185185	1728	0.13194444444444445	0.2532775385034258	0.11284722222222222	2348	0.11626916524701873	0.14349481062752367	0.09710391822827939	False									ENSG00000182973	2779	ENST00000328834	chr3+.NM_015442	1728	2348	2815	False									1728	0.1232638888888889	0.4844435424110507	0.13136574074074073
2209	0.09959257582616568	0.37124329492211483	0.1344499773653237	2209	0.10593028519692169	0.41522012047327517	0.13852421910366683	2219	0.0829202343397927	0.2815181664457802	0.12122577737719693		43	0.06976744186046512	0.18427026488530707	0.09302325581395349	53	0.09433962264150944	0.16407438333725505	0.07547169811320754	ENSG00000126602	2260	ENST00000246957	chr16-.NM_016292	2213	2223	2296		70	0.18571428571428572	0.6799092519836466	0.2	70	0.12857142857142856	0.46374950823433486	0.12857142857142856	2213	0.14143696339810213	0.6698423348820717	0.17171260732037957
1017	0.08161258603736479	0.2960938380657544	0.13569321533923304	1031	0.0863239573229874	0.3184794418785463	0.12900096993210475	1153	0.07285342584562012	0.2159501703048424	0.11535125758889853	False									ENSG00000104147	1200	ENST00000220514	chr15-.NM_007280	1035	1153	1236		70	0.08571428571428572	0.3860665928775327	0.14285714285714285	56	0.08928571428571429	0.2895285649775355	0.10714285714285714	1017	0.13962635201573254	0.5809270198558648	0.1543756145526057
82	0.17073170731707318	0.39353810086964125	0.13414634146341464	82	0.18292682926829268	0.4117466843565437	0.12195121951219512	82	0.15853658536585366	0.32969752732802227	0.12195121951219512		81	0.19753086419753085	0.4412139681394376	0.12345679012345678	81	0.1728395061728395	0.35142917084817626	0.12345679012345678	ENSG00000284503	95	ENST00000579335	chr12+.NR_037425	86	86	131		70	0.17142857142857143	0.4304462724865803	0.11428571428571428	70	0.14285714285714285	0.34089107740731406	0.12857142857142856	86	0.16279069767441862	0.6784187933393084	0.16279069767441862
1178	0.0865874363327674	0.27181660268478824	0.12393887945670629	1178	0.09252971137521222	0.28312038282227964	0.1273344651952462	1324	0.08534743202416918	0.213530750723996	0.11404833836858005	False									ENSG00000141543	1698	ENST00000269349	chr17-.NM_014740	1178	1324	1734	False									1178	0.1400679117147708	0.6055943851854404	0.16129032258064516
718	0.12395543175487465	0.33749002099252445	0.13649025069637882	718	0.13649025069637882	0.35453724409789533	0.13370473537604458	825	0.11878787878787879	0.22821272436531126	0.12363636363636364	False									ENSG00000112514	1155	ENST00000611509	chr6-.NM_015921	718	825	1199	False									718	0.14763231197771587	0.628052906487772	0.16434540389972144
336	0.0744047619047619	0.3907321994328242	0.13095238095238096	336	0.07738095238095238	0.47283361195916357	0.1488095238095238	507	0.0611439842209073	0.24993852754242538	0.11439842209072978		62	0.0967741935483871	0.24455920334234213	0.0967741935483871	69	0.028985507246376812	0.11926253758407862	0.11594202898550725	ENSG00000163191	558	ENST00000271638	chr1-.NM_005620	336	507	594	False									336	0.125	0.5692796525720185	0.1636904761904762
831	0.13959085439229843	0.2797753814714653	0.12033694344163658	831	0.14320096269554752	0.3125347788093949	0.12515042117930206	835	0.1281437125748503	0.21553897269452807	0.1089820359281437		66	0.06060606060606061	0.27764782401729104	0.13636363636363635	70	0.07142857142857142	0.14132481965223356	0.12857142857142856	ENSG00000106603	891	ENST00000223336	chr7-.NM_018224	831	835	927		38	0.10526315789473684	0.3465038164807636	0.13157894736842105	38	0.05263157894736842	0.17280880873081558	0.10526315789473684	831	0.14320096269554752	0.6216228213328807	0.16726835138387486
806	0.10421836228287841	0.33473045076904273	0.13399503722084366	806	0.11042183622828784	0.3872745176480713	0.141439205955335	806	0.09181141439205956	0.2321637853374526	0.12655086848635236		81	0.06172839506172839	0.3506322667614619	0.18518518518518517	81	0.07407407407407407	0.2882526819424138	0.14814814814814814	ENSG00000198336	819	ENST00000393450	chr17+.NM_002476	810	810	855		70	0.11428571428571428	0.4927073552037211	0.15714285714285714	70	0.07142857142857142	0.27059023817213257	0.12857142857142856	810	0.13703703703703704	0.6687083342660635	0.17530864197530865
448	0.09151785714285714	0.48772241500042063	0.14732142857142858	448	0.09821428571428571	0.5267043265281752	0.16071428571428573	448	0.08928571428571429	0.42056351254535695	0.12723214285714285		52	0.15384615384615385	0.8188432490360285	0.23076923076923078	52	0.15384615384615385	0.7378103102096943	0.19230769230769232	ENSG00000105372	490	ENST00000593863	chr19+.NM_001321483	452	452	526		70	0.14285714285714285	0.5863303709924886	0.15714285714285714	70	0.12857142857142856	0.47686944354757127	0.12857142857142856	452	0.19247787610619468	0.8668967357129372	0.1902654867256637
999	0.07407407407407407	0.2998237768310842	0.12412412412412413	1441	0.08466342817487855	0.3627839183057307	0.13601665510062458	1001	0.06293706293706294	0.19305576911339936	0.10589410589410589		58	0.15517241379310345	0.6128631563483753	0.15517241379310345	60	0.13333333333333333	0.4558416610870275	0.11666666666666667	ENSG00000143621	1870	ENST00000615950	chr1-.NM_001267809	1441	1001	1906	False									999	0.15215215215215216	0.7048869573107874	0.16716716716716717
335	0.08955223880597014	0.4595013698284538	0.13134328358208955	344	0.11337209302325581	0.5170527985241693	0.14244186046511628	356	0.08426966292134831	0.33390451781667174	0.10674157303370786		79	0.1518987341772152	0.5867744126404888	0.1518987341772152	81	0.13580246913580246	0.37552753635337327	0.13580246913580246	ENSG00000111775	536	ENST00000229379	chr12+.NM_004373	344	356	572		49	0.16326530612244897	0.7758622642294527	0.20408163265306123	40	0.125	0.6051547759209006	0.125	335	0.1761194029850746	0.8065172635026224	0.1880597014925373
1175	0.11914893617021277	0.2502068974064582	0.11659574468085106	1343	0.1355174981384959	0.33008712841819343	0.12211466865227104	1175	0.11659574468085106	0.15734052352428674	0.09957446808510638		81	0.06172839506172839	0.3108468490260005	0.14814814814814814	81	0.04938271604938271	0.11949250895821004	0.08641975308641975	ENSG00000256269	1375	ENST00000392841	chr11+.NM_001024382	1343	1175	1411	False									1175	0.16085106382978723	0.7410742760399504	0.17446808510638298
1008	0.07936507936507936	0.34042433842519065	0.12400793650793651	1008	0.0873015873015873	0.4087111124930696	0.12896825396825398	1008	0.06646825396825397	0.22168650199829534	0.10317460317460317	False									ENSG00000213719	1373	ENST00000375780	chr6-.NM_001287593	1012	1012	1560		70	0.15714285714285714	0.6584136360444285	0.2	70	0.07142857142857142	0.37984711159444073	0.18571428571428572	1012	0.1808300395256917	0.7901759614793042	0.17885375494071146
